320,76,12,-4,-1,232,90,167
158,155,5,2,-3,151,115,90
438,79,15,2,4,254,38,253
247,70,15,1,-3,16,23,179
217,81,14,1,4,134,85,198
119,84,8,-2,-2,223,162,98
294,76,13,-1,-2,184,79,215
286,100,15,-2,3,225,152,50
16,50,6,3,3,2,124,171
208,35,15,-3,-1,49,62,170
431,52,10,1,4,68,152,28
117,65,15,1,-3,157,221,185
309,100,12,3,-3,182,42,119
427,29,15,2,2,25,67,26
483,47,12,1,2,92,7,137
573,36,7,-4,4,163,54,86
211,151,7,4,-2,246,37,237
422,133,8,-2,2,115,13,160
161,161,5,2,4,142,128,144
499,171,10,2,1,182,53,254
